tx,ty,tz,rx,ry,rz,rw,tsec,tnsec
0.64226711,-0.122365282,0.453288578,-0.931080042,0.274898517,0.22615095,-0.079853045,1677726391,9929180
0.510185076,-0.137554579,0.490441085,0.909089728,-0.415807154,-0.003231914,-0.025491804,1677726448,926896334
0.325570765,-0.158665758,0.403617474,0.861953805,-0.321799788,0.358092274,-0.158903926,1677726493,261947393
0.284746938,-0.164228847,0.338772338,0.783413357,-0.33652505,0.472882991,-0.222252287,1677726535,978893518
0.287894863,-0.130449582,0.334301679,0.801344881,-0.297864521,0.503117274,-0.126475759,1677726598,425010920
0.582924154,-0.099422343,0.471254779,-0.948675627,0.256294177,0.124356307,-0.137343943,1677728322,487800360
0.544576517,-0.068391044,0.473277006,-0.887781055,0.434093817,-0.010447503,-0.1526375,1677728417,856506824
0.44013452,-0.105910907,0.474266509,-0.888606466,0.427034966,-0.166184887,-0.020056672,1677728523,607977390
0.476239081,-0.08784867,0.478977431,-0.898324599,0.419340723,-0.111564866,-0.068699009,1677728567,505007505
0.562725127,-0.108229103,0.479863102,0.909382817,-0.398122323,-0.054730961,0.107359352,1677728607,132989883
